DESC_APRESENTACAO;DIAS;UND;UF
624;B;2022-04-23;320.0;PA
625;B;2022-04-05;150.0;MG
626;B;2022-04-14;160.0;MG
627;B;2022-04-07;20.0;BA
628;C;2022-11-29;260.0;SE
629;C;2022-11-30;750.0;MA
630;C;2022-11-30;4750.0;PA
631;C;2022-11-29;90.0;SC
632;C;2022-11-30;670.0;BA
633;C;2022-11-28;90.0;SC
634;C;2022-11-25;380.0;BA
635;C;2022-11-22;380.0;SE
636;C;2022-11-18;150.0;SE
637;C;2022-11-13;0.0;SE
638;C;2022-11-03;190.0;PI
639;C;2022-08-16;160.0;AM
640;C;2022-08-16;80.0;MG
641;C;2022-08-18;-10.0;RR
642;C;2022-08-09;80.0;SC
643;C;2022-08-25;60.0;AL
644;C;2022-08-08;700.0;PA
645;C;2022-08-06;-10.0;CE
646;C;2022-08-18;160.0;AM
647;C;2022-08-18;1510.0;MA
648;C;2022-08-15;880.0;MA
649;C;2022-04-01;0.0;RS
650;C;2022-04-04;0.0;RO
651;C;2022-04-28;110.0;SC
652;C;2022-04-23;10.0;SC
653;C;2022-04-15;0.0;RS
654;C;2022-04-04;400.0;SC
655;C;2022-04-25;170.0;SC
656;C;2022-04-05;150.0;SC
657;C;2022-04-14;0.0;PR
658;C;2022-04-04;30.0;MG
659;C;2022-04-08;50.0;MG
660;C;2022-04-02;0.0;SE
661;B;2022-12-16;1860.0;PA
662;B;2022-12-16;140.0;BA
663;B;2022-12-16;40.0;RO
664;B;2022-12-14;20.0;MG
665;B;2022-12-15;370.0;MA
666;B;2022-12-15;130.0;AM
667;B;2022-12-15;130.0;SC
668;B;2022-12-13;220.0;SC
669;B;2022-12-12;80.0;CE
670;B;2022-12-11;40.0;AM
671;B;2022-12-12;150.0;AM
672;B;2022-12-10;40.0;RN
673;B;2022-12-08;50.0;MG
674;B;2022-12-07;390.0;SE
675;B;2022-12-08;290.0;MA
676;B;2022-12-04;10.0;CE
677;B;2022-12-02;100.0;SC
678;B;2022-12-01;1490.0;PA
679;B;2022-12-01;510.0;MA
680;C;2022-09-26;0.0;PI
681;C;2022-09-13;50.0;RN
682;C;2022-09-24;0.0;RN
683;C;2022-09-21;10.0;RN
684;C;2022-09-22;80.0;CE
685;C;2022-09-16;0.0;AL
686;C;2022-09-13;0.0;PE
687;C;2022-09-05;290.0;SE
688;C;2022-10-31;60.0;PB
689;C;2022-10-25;40.0;SC
690;C;2022-10-20;20.0;PE
691;C;2022-10-17;640.0;PA
692;C;2022-10-17;60.0;SC
693;C;2022-10-14;10.0;RO
694;C;2022-10-13;-10.0;PR
695;C;2022-10-11;50.0;SC
696;C;2022-10-07;80.0;RN
697;C;2022-10-06;850.0;MA
698;C;2022-10-03;20.0;PI
699;C;2022-12-13;70.0;SC
700;C;2022-12-08;110.0;SE
701;C;2022-12-08;40.0;PR
702;C;2022-12-01;60.0;MG
703;C;2022-12-01;2130.0;PA
704;B;2022-10-27;80.0;AM
705;B;2022-10-24;210.0;SC
706;B;2022-10-22;360.0;PA
707;B;2022-10-20;20.0;SE
708;B;2022-10-20;150.0;MA
709;B;2022-10-21;690.0;PA
710;B;2022-10-20;80.0;PB
711;B;2022-10-18;110.0;SE
712;B;2022-10-15;160.0;SE
713;B;2022-10-15;30.0;PI
714;B;2022-10-07;360.0;AM
